pokemon,usage,winrate,types,items,abilities,moves,ev_spreads,natures,teammates,roles
Incineroar,31.8,52.4,Fire;Dark,Sitrus Berry:42;Black Glasses:18;Occa Berry:12,Intimidate:96,Fake Out:94;Parting Shot:86;Flare Blitz:72;Knock Off:55;Protect:41,32 HP / 18 Atk / 8 Def / 8 SpD:35,Careful:44;Impish:24,Whimsicott:28;Garchomp:23;Primarina:19,pivot;disruption
Whimsicott,25.6,51.3,Grass;Fairy,Focus Sash:54;Mental Herb:24;Babiri Berry:10,Prankster:99,Tailwind:98;Moonblast:64;Encore:55;Protect:52;Helping Hand:38,4 HP / 32 Spe / 30 SpA:47,Timid:82,Incineroar:28;Charizard:22;Garchomp:20,speed-control;support;disruption
Gardevoir,22.9,53.1,Psychic;Fairy,Gardevoirite:72;Twisted Spoon:11,Trace:58;Telepathy:31,Hyper Voice:94;Moonblast:74;Psyshock:49;Protect:80;Trick Room:22,2 HP / 32 SpA / 32 Spe:52,Timid:48;Modest:33,Incineroar:20;Whimsicott:18;Garchomp:17,special-attacker;mega-cornerstone
Garchomp,21.4,51.8,Dragon;Ground,Garchompite:46;Yache Berry:24;Soft Sand:18,Rough Skin:91,Earthquake:92;Dragon Claw:67;Rock Slide:48;Protect:83;Swords Dance:31,2 HP / 32 Atk / 32 Spe:45,Jolly:61;Adamant:25,Whimsicott:20;Incineroar:23;Talonflame:13,physical-attacker;mega-cornerstone
Archaludon,19.7,52.0,Steel;Dragon,Leftovers:36;Shuca Berry:26;Dragon Fang:13,Stamina:48;Sturdy:27,Electro Shot:76;Draco Meteor:66;Flash Cannon:59;Protect:68;Body Press:42,20 HP / 32 SpA / 14 Def:39,Modest:50;Bold:26,Politoed:17;Whimsicott:14;Incineroar:12,special-attacker;bulky-attacker
Primarina,18.4,51.1,Water;Fairy,Mystic Water:38;Sitrus Berry:28;Wacan Berry:13,Torrent:57;Liquid Voice:39,Sparkling Aria:88;Moonblast:79;Icy Wind:45;Protect:72;Haze:26,20 HP / 32 SpA / 14 SpD:44,Modest:58;Calm:18,Incineroar:19;Garchomp:15;Whimsicott:12,special-attacker;speed-control
Charizard,17.8,52.8,Fire;Flying,Charizardite Y:61;Charizardite X:22,Blaze:84;Solar Power:14,Heat Wave:96;Solar Beam:72;Air Slash:51;Protect:79;Tailwind:22,2 HP / 32 SpA / 32 Spe:56,Timid:63;Modest:24,Whimsicott:22;Torkoal:14;Incineroar:14,special-attacker;mega-cornerstone
Tyranitar,16.2,50.9,Rock;Dark,Tyranitarite:50;Chople Berry:22;Hard Stone:15,Sand Stream:97,Rock Slide:91;Knock Off:61;Low Kick:34;Protect:77;Dragon Dance:29,12 HP / 32 Atk / 22 Spe:40,Adamant:46;Jolly:30,Excadrill:31;Garchomp:14;Whimsicott:10,physical-attacker;mega-cornerstone
Excadrill,15.9,50.7,Ground;Steel,Focus Sash:33;Soft Sand:30;Shuca Berry:14,Sand Rush:54;Mold Breaker:38,Earthquake:88;Iron Head:77;Rock Slide:55;Protect:69;Swords Dance:25,2 HP / 32 Atk / 32 Spe:51,Jolly:72,Tyranitar:31;Whimsicott:11;Primarina:10,physical-attacker
Glimmora,14.6,50.8,Rock;Poison,Glimmoranite:45;Focus Sash:24;Poison Barb:11,Toxic Debris:84,Mortal Spin:82;Power Gem:69;Sludge Bomb:58;Protect:74;Earth Power:32,10 HP / 32 SpA / 24 Spe:42,Timid:54;Modest:28,Incineroar:12;Garchomp:13;Whimsicott:11,special-attacker;mega-cornerstone
Talonflame,13.1,49.8,Fire;Flying,Sharp Beak:34;Focus Sash:27;Charti Berry:14,Gale Wings:96,Tailwind:91;Brave Bird:82;Flare Blitz:60;Protect:50;Will-O-Wisp:35,2 HP / 32 Atk / 32 Spe:46,Jolly:69,Garchomp:13;Primarina:9;Incineroar:11,speed-control;physical-attacker
Farigiraf,12.4,50.6,Normal;Psychic,Mental Herb:39;Sitrus Berry:28;Colbur Berry:13,Armor Tail:91,Trick Room:86;Helping Hand:64;Psychic:52;Protect:67;Foul Play:31,28 HP / 18 Def / 20 SpD:41,Sassy:42;Calm:27,Gardevoir:14;Tyranitar:12;Incineroar:10,support;speed-control
